district_id,cvap,vintage_end_year,is_post_redistricting
OH-11,526675,2016,False
OH-12,557080,2016,False
OH-13,554020,2016,False
OH-14,546795,2016,False
OH-15,563145,2016,False
OH-16,553770,2016,False
OK-01,547165,2016,False
OK-02,561960,2016,False
OK-03,561980,2016,False
OK-04,576030,2016,False
OK-05,540520,2016,False
OR-01,560150,2016,False
OR-02,585425,2016,False
OR-03,594095,2016,False
OR-04,606260,2016,False
OR-05,565405,2016,False
PA-01,505845,2016,False
PA-02,538510,2016,False
PA-03,543995,2016,False
PA-04,542455,2016,False
PA-05,559550,2016,False
PA-06,538770,2016,False
PA-07,538095,2016,False
PA-08,535215,2016,False
PA-09,550530,2016,False
PA-10,549600,2016,False
PA-11,549425,2016,False
PA-12,553555,2016,False
PA-13,504905,2016,False
PA-14,558545,2016,False
PA-15,542795,2016,False
PA-16,516195,2016,False
PA-17,541395,2016,False
PA-18,556465,2016,False
RI-01,380180,2016,False
RI-02,400070,2016,False
SC-01,548115,2016,False
SC-02,511795,2016,False
SC-03,510445,2016,False
SC-04,504180,2016,False
SC-05,513415,2016,False
SC-06,506565,2016,False
SC-07,526315,2016,False
SD-00,627070,2016,False
TN-01,554390,2016,False
TN-02,556865,2016,False
TN-03,554160,2016,False
TN-04,548310,2016,False
TN-05,535780,2016,False
TN-06,553990,2016,False
TN-07,543675,2016,False
TN-08,529630,2016,False
TN-09,499810,2016,False
TX-01,499610,2016,False
TX-02,486245,2016,False
TX-03,504145,2016,False
TX-04,517265,2016,False
TX-05,468325,2016,False
TX-06,500690,2016,False
TX-07,439465,2016,False
TX-08,527680,2016,False
TX-09,409080,2016,False
TX-10,511630,2016,False
TX-11,517260,2016,False
TX-12,523345,2016,False
TX-13,488195,2016,False
TX-14,505225,2016,False
TX-15,401210,2016,False
TX-16,436290,2016,False
TX-17,513655,2016,False
TX-18,441980,2016,False
TX-19,506685,2016,False
TX-20,496925,2016,False
TX-21,568005,2016,False
TX-22,506805,2016,False
TX-23,454290,2016,False
TX-24,479310,2016,False
TX-25,530765,2016,False
TX-26,525300,2016,False
TX-27,506810,2016,False
TX-28,403040,2016,False
TX-29,336500,2016,False
TX-30,449920,2016,False
TX-31,531830,2016,False
TX-32,477325,2016,False
TX-33,320165,2016,False
TX-34,410070,2016,False
TX-35,485480,2016,False
TX-36,497110,2016,False
UT-01,476185,2016,False
UT-02,478955,2016,False
UT-03,476230,2016,False
UT-04,472130,2016,False
VT-00,493535,2016,False
VA-01,554970,2016,False
VA-02,553525,2016,False
VA-03,552090,2016,False
VA-04,575525,2016,False
VA-05,565810,2016,False
VA-06,570580,2016,False
VA-07,547585,2016,False
VA-08,503720,2016,False
VA-09,571125,2016,False
VA-10,515700,2016,False
VA-11,488270,2016,False
WA-01,491410,2016,False
WA-02,514495,2016,False
WA-03,504500,2016,False
WA-04,421045,2016,False
WA-05,521445,2016,False
WA-06,530230,2016,False
WA-07,557715,2016,False
WA-08,491295,2016,False
WA-09,464790,2016,False
WA-10,511110,2016,False
WV-01,491170,2016,False
WV-02,485510,2016,False
WV-03,476530,2016,False
WI-01,529810,2016,False
WI-02,550465,2016,False
WI-03,558335,2016,False
WI-04,493865,2016,False
WI-05,546590,2016,False
WI-06,546370,2016,False
WI-07,546440,2016,False
WI-08,541425,2016,False
WY-00,432375,2016,False
